Time,ERCOT_Total
2025-07-28 11:00:00,54515
2025-07-28 12:00:00,55654
2025-07-28 13:00:00,56686
2025-07-28 14:00:00,59742
2025-07-28 15:00:00,64002
2025-07-28 16:00:00,68378
2025-07-28 17:00:00,72356
2025-07-28 18:00:00,76300
2025-07-28 19:00:00,79683
2025-07-28 20:00:00,80996
2025-07-28 21:00:00,81354
2025-07-28 22:00:00,81116
2025-07-28 23:00:00,81207
2025-07-29 00:00:00,80964
2025-07-29 01:00:00,79937
2025-07-29 02:00:00,77231
2025-07-29 03:00:00,74329
2025-07-29 04:00:00,70292
2025-07-29 05:00:00,65948
2025-07-29 06:00:00,62080
2025-07-29 07:00:00,58922
2025-07-29 08:00:00,56459
2025-07-29 09:00:00,55137
2025-07-29 10:00:00,54393
2025-07-29 11:00:00,54829
2025-07-29 12:00:00,55593
2025-07-29 13:00:00,56209
2025-07-29 14:00:00,58864
2025-07-29 15:00:00,62527
2025-07-29 16:00:00,66850
2025-07-29 17:00:00,71448
2025-07-29 18:00:00,75839
2025-07-29 19:00:00,79679
2025-07-29 20:00:00,81134
2025-07-29 21:00:00,81447
2025-07-29 22:00:00,81572
2025-07-29 23:00:00,81543
2025-07-30 00:00:00,81386
2025-07-30 01:00:00,79986
2025-07-30 02:00:00,76645
2025-07-30 03:00:00,74121
2025-07-30 04:00:00,70112
2025-07-30 05:00:00,65486
2025-07-30 06:00:00,61402
2025-07-30 07:00:00,57982
2025-07-30 08:00:00,55467
2025-07-30 09:00:00,53595
2025-07-30 10:00:00,52868
2025-07-30 11:00:00,53120
2025-07-30 12:00:00,53440
2025-07-30 13:00:00,54087
2025-07-30 14:00:00,56543
2025-07-30 15:00:00,60437
2025-07-30 16:00:00,64957
2025-07-30 17:00:00,69849
2025-07-30 18:00:00,74819
2025-07-30 19:00:00,78942
2025-07-30 20:00:00,80888
2025-07-30 21:00:00,81299
2025-07-30 22:00:00,81458
2025-07-30 23:00:00,81707
2025-07-31 00:00:00,81037
2025-07-31 01:00:00,78878
2025-07-31 02:00:00,75389
2025-07-31 03:00:00,72886
2025-07-31 04:00:00,69597
2025-07-31 05:00:00,65951
2025-07-31 06:00:00,62110
2025-07-31 07:00:00,59018
2025-07-31 08:00:00,56497
2025-07-31 09:00:00,54953
2025-07-31 10:00:00,54324
2025-07-31 11:00:00,54870
2025-07-31 12:00:00,55657
2025-07-31 13:00:00,55957
2025-07-31 14:00:00,58630
2025-07-31 15:00:00,62435
2025-07-31 16:00:00,67204
2025-07-31 17:00:00,72235
2025-07-31 18:00:00,76682
2025-07-31 19:00:00,80202
2025-07-31 20:00:00,81051
2025-07-31 21:00:00,81257
2025-07-31 22:00:00,81464
2025-07-31 23:00:00,81473
2025-08-01 00:00:00,81455
2025-08-01 01:00:00,79928
2025-08-01 02:00:00,77935
2025-08-01 03:00:00,74099
2025-08-01 04:00:00,70162
2025-08-01 05:00:00,66550
2025-08-01 06:00:00,63080
2025-08-01 07:00:00,60074
2025-08-01 08:00:00,57532
2025-08-01 09:00:00,56051
2025-08-01 10:00:00,55605
2025-08-01 11:00:00,55650
2025-08-01 12:00:00,56558
2025-08-01 13:00:00,56870
2025-08-01 14:00:00,59465
2025-08-01 15:00:00,62786
2025-08-01 16:00:00,66512
2025-08-01 17:00:00,70494
2025-08-01 18:00:00,74310
2025-08-01 19:00:00,77924
2025-08-01 20:00:00,79808
2025-08-01 21:00:00,80685
2025-08-01 22:00:00,81229
2025-08-01 23:00:00,80826
2025-08-02 00:00:00,79606
2025-08-02 01:00:00,76284
