date,avg_temp_f,solar_irradiance_wm2,demand_mean_mw,demand_peak_mw
2025-08-31,80.71558405748503,682.76,59080.416666666664,68809
2025-09-01,81.91100768862276,679.87,59088.291666666664,71881
2025-09-02,84.52655086946108,676.91,62188.875,75992
2025-09-03,86.95710345868262,673.89,64031.75,75972
2025-09-04,86.0295606994012,670.8,63541.375,79872
2025-09-05,87.55449271856288,667.65,66685.41666666667,79284
2025-09-06,85.19884379880239,664.44,60642.875,77036
2025-09-07,78.45397106107785,661.17,54891.833333333336,64204
2025-09-08,79.3667506730539,657.83,56254.75,69966
2025-09-09,77.79483412694611,654.44,56940.875,72242
2025-09-10,80.53893473053893,650.99,58975.0,76612
2025-09-11,84.7439421508982,647.49,62144.25,78093
2025-09-12,84.14818552335329,643.93,64033.916666666664,78402
2025-09-13,83.70777428502996,640.32,62424.333333333336,76185
2025-09-14,83.22252338682634,636.66,60708.333333333336,75346
2025-09-15,84.49173279041915,632.95,63006.75,78201
2025-09-16,83.56830153293413,629.31,62596.75,77894
2025-09-17,84.68136708023953,625.62,63048.541666666664,77980
2025-09-18,84.36246131736527,621.89,62919.0,76831
2025-09-19,84.13054578203594,618.12,63008.875,77758
2025-09-20,83.37660256766466,614.31,61975.333333333336,75900
2025-09-21,83.57849901796406,610.45,62106.916666666664,76402
2025-09-22,84.03547241197604,606.56,64510.875,78863
2025-09-23,85.36255946826347,602.63,67207.25,79113
2025-09-24,85.45305467305388,598.67,64623.125,77934
2025-09-25,83.21099980838324,594.68,59776.166666666664,71868
2025-09-26,80.12949793532934,590.66,58234.375,72230
2025-09-27,78.29603483592814,586.62,56213.708333333336,70961
2025-09-28,78.03833536766467,582.54,55295.166666666664,69128
